cellule ;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested ;rsrp;sinr;bler_dl;ho_success_rate;ue_speed;call_drop_rate_pct;status
72;68,56384512;77,5;7,636535452;0,733938694;8,804024993;2,727367163;0;-97,52;0,49;10,74;73,33;44,3;3,45;CONGESTED
73;5,698629456;5,166666667;13,96437244;0,734501123;0,974441466;0,000954747;0;-94,2;2,7;11,64;70,35;36,3;1,63;BAD_HANDOVER
74;55,06219686;93,16666667;8,434941423;0,735068917;19,29960092;6,078140259;1;-90,62;-0,02;11,93;73,12;10,2;4,16;CONGESTED
75;4,572333954;5;7,5476072;0,748538017;1;1,53E-05;0;-93,42;2,54;9,6;75,67;101,5;1,38;BAD_HANDOVER
76;5,334936593;5,833333333;10,20808887;0,748683333;0,963123142;0,004829764;0;-105,11;-3,58;15;70;113,5;2,34;BAD_HANDOVER
77;3,38104456;5,166666667;6,666508112;0,749521375;0,996779388;0,000107765;0;-96,53;2,44;10,88;72,46;112,2;1,48;BAD_HANDOVER
78;3,329237036;5,333333333;9,567953359;0,750211179;0,930555556;1,32E-05;0;-90,86;4,41;9,7;78,42;38,6;1,28;BAD_HANDOVER
79;56,67872273;93,66666667;8,102890484;0,751104355;13,95761545;4,490285754;1;-93,85;1,32;12,62;70,85;38,4;4,02;CONGESTED
80;54,56188097;88,33333333;9,939916567;0,753240347;3,445307758;1,043823481;0;-91,19;3,36;12,84;70;73,3;3,75;CONGESTED
81;61,54563511;86,16666667;7,586275634;0,753350377;15,46904056;4,971143961;1;-96,11;1,85;12,53;72,9;57,8;3,39;CONGESTED
82;41,64331541;87,33333333;8,020074062;0,754937232;12,36147776;3,699270129;0;-96;0,71;12,87;70;54,4;3,83;BAD_HANDOVER
83;51,49962638;88;10,50967136;0,755879521;2,941946967;0,890784621;0;-94,07;3,28;10,36;76,58;25,6;3,34;CONGESTED
84;57,21533062;90,33333333;11,25803954;0,762201786;3,133428736;0,982825279;0;-92,95;0,94;13,05;70;2;3,85;CONGESTED
85;47,84036349;89,66666667;6,432153294;0,763434112;6,334851236;1,955929995;0;-94,01;0,7;13,37;70;20,3;3,88;BAD_HANDOVER
86;65,78963765;83;7,723998373;0,766463578;7,936806549;2,553091168;0;-94,4;0,76;12,84;70;66,2;3,46;CONGESTED
87;57,68369174;78,83333333;9,349016342;0,767113864;3,479432185;1,016950965;0;-98,35;-0,04;14,51;70;111,2;3,82;CONGESTED
88;55,13434168;92,83333333;8,595116902;0,77086097;12,84459985;4,217672229;1;-93,11;2,42;11,63;70,71;107,8;3,86;CONGESTED
89;61,197809;90;9,7671805;0,772505581;5,276412886;1,706062913;0;-94,39;1,37;14,46;70;110,7;3,91;CONGESTED
90;61,22042141;86,83333333;9,099039562;0,772926986;2,770837939;0,866218448;0;-89,35;2,87;12,2;70;44,7;3,48;CONGESTED
91;47,27975387;89,66666667;9,266379102;0,776094973;15,51231284;4,914040208;0;-89,01;2,09;12,57;70;65,3;3,8;BAD_HANDOVER
92;56,55610947;80,5;9,111706996;0,776495397;3,962781342;1,175304532;0;-94,07;1,33;13,64;70;60,2;3,48;CONGESTED
93;53,21911821;78,16666667;8,862572002;0,778758466;2,611090279;0,744705915;0;-96,88;0,93;13,95;70;18,3;3,42;CONGESTED
94;71,31302449;65;7,916493877;0,784158409;7,198982892;2,195965052;0;-98,19;0,43;12,87;70;13;2,96;CONGESTED
95;51,73550589;95;7,908240838;0,784665227;6,68088572;2,248637795;0;-92,88;0,41;12,19;70;67,2;4,06;CONGESTED
96;62,58203418;83;7,934299822;0,785535932;13,51934551;4,524052858;1;-94,61;1,36;11,24;71,22;48,8;3,28;CONGESTED
97;40,58777405;6,666666667;14,09350457;0,788647592;1,182001708;0,079928994;0;-96,72;1,83;11,15;71,7;14,8;1,44;BAD_HANDOVER
98;49,46005661;69,5;9,025136736;0,790600002;8,292161713;2,3264184;0;-94,78;3,74;12,34;70;94,2;2,95;BAD_HANDOVER
99;49,96408149;91,16666667;12,83124768;0,790791929;3,123495273;1,005645037;0;-98,1;0,66;12,79;70;93,8;3,97;BAD_HANDOVER
100;50,64225609;92,33333333;8,940493026;0,793544769;15,34205172;5,134129763;1;-91,51;4,43;9,3;77,4;114,7;3,26;CONGESTED
101;65,85334154;84,16666667;8,514334398;0,794530451;11,22333538;3,826528192;0;-97,24;2,68;12,05;70;91,8;3,52;CONGESTED
102;53,1965875;92,33333333;7,725740195;0,795459926;12,01251326;4,083581805;1;-88,88;2,77;11,23;70;72,3;3,84;CONGESTED
103;58,45091919;92,5;9,976914773;0,798834085;20,96527089;7,186972976;1;-92,98;1,12;13,6;70;74,8;4,08;CONGESTED
104;49,79987814;94,83333333;7,544321059;0,806291521;8,533464635;2,93642056;0;-92,03;0,35;12,7;70;74,3;4,21;BAD_HANDOVER
105;58,72913519;90,33333333;7,924991282;0,808758855;8,721651023;2,99238956;0;-100,47;-0,31;15;70;36,1;3,91;CONGESTED
106;59,24910155;90,66666667;8,196941207;0,817383528;16,26916635;5,706605315;1;-94,15;0,61;14,24;70;56,3;3,99;CONGESTED
107;49,07043825;66,16666667;8,983303844;0,818930268;2,237810857;0,554537654;0;-91,3;4,32;10,35;71,32;37;2,44;BAD_HANDOVER
108;65,82120845;92,66666667;8,731211498;0,819844067;19,8942223;6,998041153;1;-99,77;-1,15;15;70;76,2;4,38;CONGESTED
109;39,30199344;57,33333333;6,225391834;0,82171607;7,034245707;1,636799574;0;-96,33;1,37;12,55;70,6;53,5;2,82;BAD_HANDOVER
110;38,70542544;83,83333333;10,32803526;0,821744323;2,759767495;0,857321858;0;-94,84;1,03;13,55;70;61,4;3,71;BAD_HANDOVER
111;48,74439462;91;6,703892276;0,821780682;5,81367459;1,963049173;0;-101,87;-2,2;15;70;86,4;4,32;BAD_HANDOVER
112;41,78983722;63,33333333;9,819121016;0,824668288;2,294469353;0,545105934;0;-93,42;4,4;8,73;77,37;105,1;2,19;BAD_HANDOVER
113;37,90473328;83,16666667;7,325322557;0,825687587;5,497236058;1,669899583;0;-90,77;1,95;14,04;70;105,1;3,65;BAD_HANDOVER
114;44,59458367;93,83333333;7,074347341;0,832218468;7,661134834;2,699265838;0;-99,3;1,91;10,89;70,61;96,1;3,93;BAD_HANDOVER
115;54,78537733;91,83333333;8,085903285;0,835619867;17,13970644;6,103129864;1;-93,25;0,72;13,63;70;30,4;3,92;CONGESTED
116;50,4744859;94,55555556;7,077195022;0,838533998;5,937687041;1,594285369;0;-101,56;0,23;13,7;70;11;4,17;CONGESTED
117;55,38989091;93;8,322624319;0,844627559;10,13870025;3,672440767;0;-95,19;2,78;9,89;76,16;7;3,61;CONGESTED
118;48,33406576;93,33333333;9,317853398;0,844751835;9,464332499;3,38770771;0;-103,08;-1,1;15;70;31,6;4,6;BAD_HANDOVER
119;60,25688486;88,16666667;8,240575279;0,845261633;13,82367172;5,005561709;1;-89,39;6,21;6,78;82,78;39,7;2,95;CONGESTED
120;3,176082254;5;12,25742463;0,850467265;1;1,08E-05;0;-92,96;4,72;8,93;81,82;91,5;1,26;GOOD_CELL
121;59,29487247;88,16666667;8,768961834;0,851876318;3,445410988;1,199219108;0;-95,12;-1,1;13,83;70;82,9;3,99;CONGESTED
122;63,5744685;79,66666667;8,299483339;0,859664857;13,77992014;5,043834567;1;-98,88;-1,25;15;70;73,2;3,74;CONGESTED
123;51,37658938;89,33333333;7,836084278;0,860217571;12,25490862;4,375719905;1;-88,63;4,88;10,52;72,95;48,1;3,49;CONGESTED
124;51,42751316;88,83333333;10,02947069;0,86047703;4,763235884;1,687081695;0;-85,16;3,06;9,69;72,53;58,4;3,64;CONGESTED
125;4,563261111;5;12,63825919;0,862704635;0,738255034;5,19E-05;0;-104,29;-1,15;15;70;40,1;2,35;BAD_HANDOVER
126;62,59785147;29,5;12,67809135;0,870316744;2,785535336;0,844056129;0;-88,82;1,53;12,69;70,11;84,5;1,78;BAD_HANDOVER
127;44,25495176;94,66666667;6,470489163;0,872974455;6,41648102;2,386502385;0;-86,86;4,15;9,32;74,5;6;3,55;BAD_HANDOVER
128;59,67891187;90;9,01063368;0,881254315;12,92181051;4,866991639;1;-93,31;2,51;10,32;73,95;104,9;3,56;CONGESTED
129;60,07520818;82,5;6,925288334;0,881798804;5,700520497;2,044995546;0;-101;-2,33;15;70;97,6;3,95;CONGESTED
130;46,92555871;88,33333333;6,731993672;0,881885409;5,533295004;1,925388932;0;-90,68;4,18;9,57;80,21;57,4;3,41;HIGH_DROP_RATE
131;51,61246376;94,66666667;8,737160475;0,8829422;15,10322105;5,719030619;1;-95,9;3,94;11,31;71,64;40,4;3,64;CONGESTED
132;50,16424186;93,83333333;5,747486575;0,889918566;4,815708861;1,79068172;0;-98,02;-1,13;15;70;106,3;4,22;CONGESTED
133;20,17924942;35,33333333;11,31742682;0,890183508;1,7363554;0,256859183;0;-101,15;-1,68;15;70;55;2,08;BAD_HANDOVER
134;58,2343933;90,66666667;10,41498605;0,893312454;29,44283977;11,2866869;1;-92,25;0,55;12,92;70;42,6;3,94;CONGESTED
135;9,049867093;7;10,57111695;0,893894136;1,000451718;0,003068089;0;-91,04;1,33;11,83;72,52;13,5;1,76;BAD_HANDOVER
136;50,00893982;80,83333333;7,612392288;0,897052944;5,647956561;1,942105293;0;-98,12;-1,45;14,63;70;43,3;3,74;CONGESTED
137;50,16045985;90;7,133576486;0,897244275;6,818271466;2,533671975;0;-92,4;2,27;11;72,01;10,5;3,69;CONGESTED
138;51,52793774;80,83333333;7,097374041;0,897738218;6,8893819;2,414552569;0;-100,72;-0,72;13,03;70;104,7;3,6;CONGESTED
139;38,31378688;92,5;9,22413171;0,898553491;3,623187523;1,356363177;0;-90,99;3,02;12,03;70;94,3;3,71;BAD_HANDOVER
140;59,72034097;79,5;6,936394332;0,89872849;2,477806833;0,861583114;0;-94,77;1,47;13,21;70;25,5;3,54;CONGESTED
141;50,29227437;92;6,52452537;0,899164915;5,555006026;2,088214397;0;-95,93;4,21;12,51;70,68;19,7;3,68;CONGESTED
142;55,12871108;93,33333333;8,563895152;0,900975883;12,88920092;4,977429986;1;-95,51;1,52;14,18;70;100;3,98;CONGESTED
143;66,36897394;82,5;8,364399579;0,901035249;9,37655119;3,623208165;0;-90,66;1,87;10,22;74,96;80,4;3,32;CONGESTED
144;65,57874609;81,16666667;8,154015489;0,903562605;3,015436187;1,106429696;0;-91,25;3,38;12,11;70,15;86,7;3,45;CONGESTED
145;30,34824438;61,83333333;7,971018593;0,907961547;1,919669322;0,500866652;0;-92,35;2,51;12,32;70;82,6;2,63;BAD_HANDOVER
146;54,69614207;92,16666667;7,750798989;0,910870314;11,57468616;4,483896136;1;-94,31;3,8;9,61;76,76;44,7;3,49;CONGESTED
147;56,91518257;94;7,841045676;0,911846161;15,33598279;5,996875167;1;-94,61;2,38;13,3;70;115,2;3,98;CONGESTED
148;41,41981538;88,16666667;5,761987613;0,913226485;4,173945713;1,484609723;0;-91,91;2,02;12,89;70,05;52;3,78;BAD_HANDOVER
149;55,20619669;92,77777778;8,529970608;0,913651526;9,986717695;3,753015637;0;-93,84;0,06;15;70;4,2;4,19;CONGESTED
150;4,674339262;5;11,88556933;0,913786948;0,998413957;0,000133991;0;-91,59;4,69;7,46;83,54;81,7;1,08;GOOD_CELL
151;57,97736413;92,66666667;7,249799296;0,914787889;5,978770887;2,307436347;0;-96,55;2,31;11,36;74,84;86,6;3,57;CONGESTED
152;59,35424291;89,16666667;10,05116396;0,915272176;23,39589836;9,181440473;1;-107,17;-5,02;15;70;54,3;4,66;CONGESTED
153;52,96735465;77,33333333;10,10632458;0,920375824;2,367104576;0,805571079;0;-89,81;2,02;11,96;72,47;9,8;3,08;CONGESTED
154;55,44117353;92;8,565064009;0,922868133;16,21221586;6,392775536;1;-84,07;5,73;6,98;82,3;103,7;3,14;CONGESTED
155;25,76229792;29,66666667;8,165039696;0,925345778;7,035886599;1,076494813;0;-92,79;2,62;11,21;71,51;71,8;1,55;BAD_HANDOVER
156;3,528169409;5;6,588999014;0,92592591;0,96;3,81E-06;0;-95,5;-0,6;15;70;46,7;2,17;BAD_HANDOVER
157;57,2340443;81,16666667;7,554398976;0,927128971;6,274565647;2,303709865;0;-95,68;3,38;11,95;70,08;15,6;3,39;CONGESTED
158;64,8410918;68,5;7,232221554;0,928156435;5,587142555;2,052746177;0;-95,6;0,64;15;70;88;3,21;CONGESTED
159;68,49910691;73,83333333;8,498920011;0,929007769;7,745748265;2,979113102;0;-94,91;2,47;10,59;77,1;100,9;3;CONGESTED
160;43,10988469;76,66666667;5,784437382;0,934165895;3,924754847;1,298252702;0;-100,61;0,11;13,48;70;84,6;3,5;BAD_HANDOVER
161;48,88102242;94,33333333;6,861790641;0,935216129;4,63902993;1,855369449;0;-97,59;2,54;11,79;70;64,2;3,93;BAD_HANDOVER
162;58,51057466;75,5;6,876699387;0,941782117;5,935637786;2,157107115;0;-99,99;1,75;13,88;70;108,1;3,45;CONGESTED
163;51,92295673;94,83333333;8,8585758;0,94389832;17,45533025;7,07053268;1;-93,76;4,61;9,89;73,64;28,2;3,62;CONGESTED
164;3,346360967;5,166666667;6,858869229;0,949790776;0,991701245;2,71E-05;0;-96,48;2,71;11,75;72,25;78,2;1,71;BAD_HANDOVER
165;60,16761661;87;8,055778841;0,952615499;12,95491774;5,282724738;1;-92,52;2,17;12,6;70;90,3;3,67;CONGESTED
166;56,89893768;90,83333333;8,512786137;0,954907954;14,17186341;5,769911766;1;-95,87;1,81;12,13;70;47,6;4,08;CONGESTED
167;52,56855297;94,66666667;7,915658778;0,956629097;15,05844601;6,179676294;1;-90,07;3,81;10,95;73,4;65,6;3,88;CONGESTED
168;57,5045974;92,66666667;6,665648961;0,956744611;5,903249123;2,42372489;0;-93,93;0,79;12,7;70;117,1;4;CONGESTED
169;47,86932888;65,33333333;10,00190278;0,964991689;2,008028289;0,597522497;0;-84,05;5,84;8,61;80,68;63,8;2,33;HIGH_DROP_RATE
170;56,74769722;88,66666667;9,306814117;0,969512463;14,88641925;6,14978683;1;-104,48;-1,32;15;70;44,3;4,35;CONGESTED
171;51,38463578;93,16666667;7,013280517;0,97044003;9,463823678;3,889481902;0;-98,23;-2,15;15;70;101,2;4,27;CONGESTED
172;57,66123651;92;9,739961313;0,973863423;2,768246532;1,127934575;0;-90,49;1,31;11,39;71,24;51,3;4,09;CONGESTED
173;4,226371996;5,333333333;8,8506483;0,975450099;1;0,000213146;0;-82,36;4,41;9,4;76,39;108,6;1,34;BAD_HANDOVER
174;42,85903299;83,66666667;8,847250485;0,976318836;13,20429062;4,895269275;0;-96,24;2,97;11,33;70,25;80,9;3,41;BAD_HANDOVER
175;50,37208102;95;7,501107875;0,978821635;14,8230442;6,222934008;1;-94,78;1,72;12,43;70;106,9;3,81;CONGESTED
176;48,15631366;94,66666667;8,42426565;0,979328752;12,52355789;5,251116157;0;-96,13;2,41;10,77;72,48;15,2;3,74;BAD_HANDOVER
177;55,56523179;92,66666667;9,420879397;0,980130732;18,81256419;7,907798052;1;-88,34;3,32;10,69;74,13;77,8;3,72;CONGESTED
178;56,02275249;92,5;7,909594859;0,982860208;8,260656372;3,472207427;0;-96,44;2,15;12,64;70;100,6;4,02;CONGESTED
179;38,33048233;94,33333333;8,7666843;0,984375;13,28583415;5,566794753;0;-91,6;4,63;9,78;74,9;111,4;3,62;BAD_HANDOVER
180;46,86173384;43;7,142940002;0,990058482;3,329726283;0,849228978;0;-96,6;-0,31;14,14;70;91;2,22;BAD_HANDOVER
181;57,88478045;78,66666667;8,265139455;0,990597427;2,844856665;1,080387115;0;-101,36;-0,76;14,58;70;66,6;3,76;CONGESTED
182;59,60105898;83,83333333;8,629439742;0,991013467;12,15074652;5,050801277;1;-93,43;1,22;10,48;75,66;93,6;3,25;CONGESTED
183;44,08231874;87;8,899430088;0,991734028;3,220541388;1,261774778;0;-92,48;1,21;11,19;73,37;98,6;3,47;BAD_HANDOVER
184;53,45878759;93,83333333;8,496091417;0,992254317;10,1640089;4,315781474;1;-88,53;4,02;9,85;75,7;64;3,51;CONGESTED
185;57,0882669;87;7,814742582;0,992780864;11,56670236;4,85248065;1;-95,55;0,9;14,48;70;88,7;3,86;CONGESTED
186;50,12320923;89;8,299405347;0,999746382;8,290537179;3,394054651;0;-98,09;1,81;12,45;70;114,1;3,54;CONGESTED
187;4,583124184;5;10,13794343;1;1;3,22E-06;0;-92,19;2,69;11,77;72,32;13,4;1,64;BAD_HANDOVER
188;72,37661024;48,66666667;8,906282836;1,003055096;5,910179662;2,417691112;0;-93,8;2,74;10,56;76,67;29,9;1,99;BAD_HANDOVER
189;56,60863477;89,66666667;9,59471936;1,003628254;10,6684925;4,545409441;1;-93,6;2,18;12,24;70,74;61,5;3,88;CONGESTED
190;67,48344934;66,5;7,524311617;1,004724622;5,503581931;2,20420289;0;-95,37;2,33;10,13;74,29;53,7;2,49;CONGESTED
191;4,920496246;5,166666667;8,184167746;1,005671024;1;6,34E-05;0;-89,2;0,67;14,91;70;119,2;2,11;BAD_HANDOVER
192;46,45187211;94,16666667;8,94982417;1,011718512;18,73921357;8,082514048;0;-93,15;1,32;12,31;73,12;10,7;3,83;BAD_HANDOVER
193;56,42809959;94,83333333;8,953374966;1,015537977;17,78144828;7,74775517;1;-85,48;5,71;8,82;78,69;111,2;3,42;CONGESTED
194;58,26065417;89,5;7,694622011;1,017242789;5,093032854;2,208653927;0;-89,44;3,12;11,32;72,97;103;3,45;CONGESTED
195;56,91459799;92;9,410718905;1,017358661;18,13783844;7,918708324;1;-91,7;1,2;14,44;70;6,5;4,11;CONGESTED
196;54,70480858;92,5;8,450569733;1,017877221;8,852880887;3,831314445;0;-103,14;-1,68;15;70;76,8;4,33;CONGESTED
